,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
32492,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:24:15 AM,Dolly Parton,World On Fire,World On Fire,0,0,Rock,UMG - Big Machine,00843930095278,1,0,,,,,,,,,,,,
32493,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:28:35 AM,Tall Travis,Alley-Oh,Chicken Music,0,0,Folk,Travis Records,198015325147,0,0,,,,,,,,,,,,
32494,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:31:43 AM,Stromae,carmen,40 Hits Spring 2015,0,0,World,Mercury/ DEP,602537502295,0,0,,,,,,,,,,,,
32495,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:34:49 AM,Acusmatic Group,Fish Food,Pilot,0,0,,Irma Records,8056737604686,0,0,,,,,,,,,,,,
32496,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:41:33 AM,Donald Harrison,The Magic Touch,"""3D"" Vol.1",0,0,Jazz,fomp records,824837507927,0,0,,,,,,,,,,,,
32497,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:47:57 AM,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,0,0,,MERLIN - Dead Oceans,656605165066,0,0,0.504,0.308,0.308,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,137773.0
32498,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:50:15 AM,Rupert Cox,Fig Tree,Search Party,0,0,,Albert's Favourites,,0,0,,,,,,,,,,,,
32499,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:53:53 AM,Hot Chip,Fire of Mercy,Fire of Mercy,0,0,,Domino Recording Co,887829137069,0,0,,,,,,,,,,,,
32500,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:58:12 AM,Margaux,Eyes On You (Rock / Metal Remix),Eyes On You (Rock / Metal Remix),0,0,Electronic,WebMusic,5051813466113,0,0,0.541,0.806,0.806,-7.257,1.0,0.0416,2.23e-05,0.778,0.0644,0.737,114.204,134750.0
32501,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:59:09 AM,Mason Jennings,Only Lovers Welcome,Underneath The Roses,0,0,Folk,Loosegroove Records Inc.,197187956135,0,0,0.517,0.494,0.494,-13.355,0.0,0.0273,0.872,0.479,0.231,0.644,152.133,220653.0
32502,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:02:46 AM,Taj Mahal,Gee Baby Ain't I Good To You,Gee Baby Ain't I Good To You,0,0,Rock,Stony Plain Records,772532147620,0,0,,,,,,,,,,,,
32503,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:06:34 AM,Jack Johnson,Don't Look Now,Meet The Moonlight,0,0,Rock,Brushfire / Republic Records,00602445753949,1,0,,,,,,,,,,,,
32504,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:13:52 AM,Devendra Banhart,Twin,Twin,0,0,Rock,Mexican Summer,4526180658054,0,0,,,,,,,,,,,,
32505,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:17:02 AM,L'Impératrice,Heartquake,Heartquake,0,0,,MERLIN - microqlima,3663729252425,0,0,0.58,0.481,0.481,-8.424,0.0,0.12,0.626,0.581,0.143,0.373,99.984,218373.0
32506,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:20:41 AM,Echo Conscious,Arrived,Emotional Patterns,0,0,Electronic,Harmonious Discord,853566497452,0,0,,,,,,,,,,,,
32507,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:24:37 AM,The Gregory Brothers,Can't Hug Every Cat,Can't Hug Every Cat,0,0,,MERLIN - Gregory Residence,824833004062,0,0,,,,,,,,,,,,
32508,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:26:39 AM,Jeff Coffin,When Birds Sing,Between Dreaming and Joy,0,0,Jazz,Ear Up Records,658580496043,0,0,,,,,,,,,,,,
32509,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:30:49 AM,Isaiah J. Thompson,For Phineas,The Power of the Spirit,0,0,Jazz,ORCHARD - Blue Engine Records,197187730360,0,0,,,,,,,,,,,,
32510,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:38:08 AM,OK Go,This,This,0,0,Rock,ORCHARD - Paracadute,197189156120,1,0,,,,,,,,,,,,
32511,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:42:08 AM,Magic Sam,I Feel So Good (I Wanna Boogie),West Side Soul,0,0,Blues,ORCHARD - Cobra Records,192562656105,0,0,0.543,0.573,0.573,-15.174,1.0,0.0897,0.2,3.21e-05,0.245,0.562,107.55,286960.0
32512,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:46:52 AM,Planningtorock,Beulah Loves Dancing,Powerhouse,0,0,Electronic,DFA Records / Human Level,829732261738,0,0,0.959,0.383,0.383,-11.105,1.0,0.0933,0.0732,0.0165,0.0728,0.401,119.971,249773.0
32513,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:50:53 AM,Don Patterson,Little Angie,Legends Of Acid Jazz vol 2,0,0,Jazz,UMG - Prestige,00888072314368,0,0,,,,,,,,,,,,
32514,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:58:04 AM,Lael Neale,White T-Shirt,White T-Shirt,0,0,,Subpop Record Group,098787160765,0,0,,,,,,,,,,,,
