,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
35417,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:52:02 AM,Everything Everything,Cold Reactor,Cold Reactor,0,0,,BMG Rights Management (UK) Limited,4050538996661,0,0,0.601,0.73,0.73,-6.077,1.0,0.0353,0.271,0.0143,0.127,0.814,160.047,231467.0
35418,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:56:12 AM,This Is The Kit,This Is What You Did,Off Off On,0,0,,MERLIN - Rough Trade,5059638234054,0,0,0.618,0.807,0.807,-8.924,1.0,0.0667,0.75,0.526,0.101,0.434,134.708,192981.0
35419,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:59:26 AM,Rachel Therrien,The Wizard,Mi Hogar,0,0,Jazz,MERLIN - OUTSIDE IN MUSIC,762183757620,0,0,,,,,,,,,,,,
35420,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:04:54 AM,Josh Ritter,For Your Soul,Sawgrass / For Your Soul,0,0,Rock,Pytheas Recordings,197187659333,0,0,,,,,,,,,,,,
35421,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:07:58 AM,Rupert Cox,Search Party,Search Party,0,0,,BELIEVE - Albert's Favourites,3617227709530,0,0,,,,,,,,,,,,
35422,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:11:19 AM,Vicky Tafoya,The Moment,The Moment,0,0,R&B/Soul,MERLIN - Penrose / Daptone Records,634457127678,0,0,,,,,,,,,,,,
35423,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:19:00 AM,Jasdeep Singh Degun,Sajanava,Sajanava,0,0,World,UMG - Real World,884108011652,0,0,0.219,0.179,0.179,-11.193,1.0,0.0363,0.846,0.0,0.197,0.0894,135.214,264253.0
35424,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:23:22 AM,Yeah Yeah Yeahs,Spitting Off the Edge of the World,Spitting Off the Edge of the World,0,0,,MERLIN - Secretly Canadian,617308030679,1,0,0.413,0.722,0.722,-5.875,1.0,0.036,0.00342,3.13e-06,0.0626,0.0803,109.948,257747.0
35425,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:27:41 AM,Aaron Diehl,Virgo,Zodiac Suite,0,0,Jazz,Mack Avenue Records,673203120167,0,0,,,,,,,,,,,,
35426,Mona Lisa's Mixtape,158144,MJ,2024-01-10,9:33:04 AM,PJ Harvey,"A Child's Question, August","A Child's Question, August",0,0,,PTKF,720841303206,0,0,0.61,0.375,0.375,-14.665,1.0,0.0329,0.757,0.604,0.105,0.333,116.491,166013.0
